Key	Start	End	Length	Fade	Release	Path	Skew	Skew Parameter	Skew Repeat	Skew Buddies	Preset/Flag	Properties
2: Lane 2	0.00	5.00	5.00	0.50	2.00	Default	None		All	1	Rainbow	Start Colour (255,0,0), Count 5, Offset Style None
6: Logo_Heads	0.00	5.00	5.00	0.50	2.00	Default	None		All	1	Rainbow	Start Colour (255,0,0), Count 5, Offset Style None
